first_name,last_name,clinic_affiliation,sub_specialty_english,sub_specialty_spanish,phone_number
Renado,Stansfield,Senior Sales Associate,Pemphigus,Prim hypercoagulable st,6703718056
Marley,Dedrick,Accountant III,Opn brain inj-mod coma,Lt ef oth paral dom side,1554776539
Susi,Hurch,VP Marketing,Hyperem w metab-antepart,Hx-laryngeal malignancy,4258260778
Dion,Buckie,Financial Analyst,Aortic valve disorder,Mv-oth veh coll-driver,7553744782
Domini,Benner,Help Desk Technician,Monplga upr lmb dmnt sde,Amyloidosis NEC,3157559945
Lucina,McCalum,Executive Secretary,T1-t6 fx-op/cord inj NEC,Firearm accident NEC,9777209884
Nevsa,Henrot,Developer II,Ac uterine inflammation,Vac-measle-mumps-rubella,5674626359
Kienan,Stonestreet,Research Associate,Lumbar root injury,Poisoning by caffeine,3023774294
Maighdiln,Holworth,Community Outreach Specialist,Erythem nodos tb-cult dx,TB laryngitis-cult dx,3045235894
Anne-corinne,Eke,Automation Specialist III,Twin-mate sb-hosp w cs,"Nevus, non-neoplastic",2133413687
Rosalinde,Ewols,Clinical Specialist,Ulcer of lower limb NOS,Viral arthritis-unspec,5462367119
Amargo,Sharvell,Staff Scientist,War injury:gas/fum/chem,Brain lacer NEC-coma NOS,2813210402
Claudianus,Ganning,Design Engineer,Sprain of hand NOS,Poisoning-antiviral drug,8408223577
Eada,Haukey,Biostatistician III,Optic neuritis NOS,Inlet contraction-unspec,9758823698
Zorine,Wynn,Help Desk Operator,Malfunc vasc device/graf,Hemarthrosis-mult jts,1124186092
Ruthe,Midlane,Nurse,Hypoglycemia NOS,Adv eff GI agent NEC,2251138696
Korrie,Pittwood,VP Product Management,Epidem hem conjunctivit,Dental caries - arrested,8072757181
Ryann,Greatbach,Administrative Assistant II,Hx pulmonary embolism,Clos skull base fracture,8603709914
Bebe,Strafen,Social Worker,Bronchopneumonia org NOS,Poison-sedat/hypnotic,5724986167
Heloise,Tooker,Research Nurse,Malig neo parotid,Acc d/t storm/flood NOS,4276133133
Didi,Fockes,Structural Analysis Engineer,TB of ear-histo dx,Death within 24 hr sympt,4699098787
Marysa,Goford,Data Coordiator,Dvrtcli colon w/o hmrhg,Fetal distrs dur lab/del,1482793137
Nadia,Winstanley,General Manager,Sympt hemophil a carrier,Poison-gas/vapor NEC,8839560787
Joeann,Lilian,Social Worker,Encephalocele,Legal intervent-explosiv,4591987118
Darline,Genthner,Nurse,React psychosis NEC/NOS,Pl cocidioidomycosis NOS,9848240602
Stacy,Wrathmall,Social Worker,Cl skull vlt fx-mod coma,Amnion prob NOS-antepart,1568798975
Chip,Avesque,Help Desk Operator,Mal neo soft tissue NOS,Chr atticoantral sup OM,2538634767
Biron,Rosen,Occupational Therapist,Fracture rib NOS-closed,Cryst arthrop NOS-up/arm,4339374698
Lynnet,Daenen,Software Engineer III,Nodular lymphoma mult,Nox sub NOS aff NB/fetus,3768379994
Gilli,Woodwin,Web Designer III,Mycotic arthritis-unspec,Inf mcrg rstn qn flrq ml,1579890500
Alexandrina,Measham,Senior Financial Analyst,Somat dysfunc lower extr,Aftrcre surg GU syst NEC,7592617325
Saul,Perrone,Compensation Analyst,Ulcer oth part low limb,Injury sciatic nerve,2015715446
Emlen,Sylett,Account Coordinator,Vomit compl preg-deliver,Talipes equinovarus,8687271431
Bobina,Dunrige,Clinical Specialist,Lac eyelid inv lacrm pas,Vscourtl rflx w npht NOS,2064370778
Conn,Peoples,Senior Cost Accountant,Late eff spine/trunk fx,Salivary glnd hyprtrophy,3802172016
Adriana,Hostan,Web Designer II,Closed skull vault fx,Accid-caustic substance,3833786982
Samson,Brogiotti,Quality Engineer,Poison-hair/scalp prep,Psychogenic pain NEC,2662220065
Marylou,Waterfall,Occupational Therapist,Adv eff antirheumatics,Senile reticular degen,8959519552
Sinclair,Grabiec,Recruiting Manager,Ac marginal ulc NOS-obst,Vitreous hemorrhage,9934960202
Fonz,Heino,Marketing Manager,Extreme immatur <500g,Pyromania,9535373298
Gherardo,Venus,Account Coordinator,3rd deg burn w loss-eye,Mal neo cheek mucosa,7626932727
Marti,Lante,Technical Writer,Abn basal metabol study,Diphtheria NEC,3658863042
Clary,Blabber,Product Engineer,Osteoarthrosis-mult site,Elevated sediment rate,7056954201
Tiphani,Tite,Design Engineer,Fall from train-passengr,Unarmed fight or brawl,2049622877
Masha,Polgreen,Executive Secretary,Infected postop seroma,Acute myocarditis NOS,4748603626
Hannis,Purcer,Software Consultant,Cerebrovasc dis-postpart,Pregnt-assist repro tech,6925274489
Wendell,Grimsdell,Programmer IV,Gen dissem choroiditis,Lymphoid mal NEC axilla,3386147398
Xever,Giacomucci,Junior Executive,Pois-corticosteroids,Ben neo GI tract NEC/NOS,5378690343
Linette,Daelman,Nuclear Power Engineer,Abn uterus NEC-postpart,Pois-butyrophenone tranq,2131939913
Nathalia,Bloxham,Compensation Analyst,Syphilis of bone,Proteus enteritis,4808700212
Enrique,Rysdale,VP Product Management,Fall NEC,Toxic eff liq petrol gas,7456732737
Anjanette,Kubala,Executive Secretary,Sarcosporidiosis,NB acidosis NEC,3504267331
Timmi,Torfin,Environmental Tech,Cl skl w oth fx-brf coma,Acc poisn-solvents NEC,9518974814
Hastie,Gheorghie,Compensation Analyst,Scrn unspcf chlmyd dis,Other lymphedema,6335105276
Robinson,Earie,Actuary,Hypochondriasis,Rec preg loss wo cur prg,2591079041
Shel,Stillwell,Senior Cost Accountant,Hx-antibiot allergy NEC,Calcer cornea degen NEC,2288187056
Annmarie,Coling,Computer Systems Analyst III,Galactorrhea-antepartum,TB lung nodular-micro dx,5494679313
Hector,Balnave,Computer Systems Analyst II,Bronchiectas w/o ac exac,Traum subcutan emphysema,8076428182
Dredi,Jarrold,Analog Circuit Design manager,Dislocat elbow NOS-close,History-pre-term labor,2952176602
Lida,Dahmel,Assistant Manager,Protozoal intest dis NOS,Jt derangment NOS-up/arm,7382654104
